track_name,artist_name,danceability,energy,valence,acousticness,year
Dễ Đến Dễ Đi,Quang Hùng MasterD,0.873,0.444,0.406,0.752,2021
Dinero,Trinidad Cardona,0.708,0.782,0.484,0.00772,2021
Tutu,Camilo,0.731,0.832,0.94,0.273,2021
Know Me Too Well,New Hope Club,0.75,0.698,0.834,0.427,2021
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,0.646,0.795,0.796,0.0319,2021
Beggin',Måneskin,0.714,0.8,0.589,0.127,2021
#BrooklynBloodPop!,SyKo,0.691,0.814,0.509,0.0164,2021
So Big,Iyaz,0.697,0.688,0.666,0.29,2021
double take,dhruv,0.654,0.434,0.223,0.837,2021
everything sucks,vaultboy,0.76,0.371,0.653,0.00772,2021
Unlock it (Lock It) - feat. Kim Petras and Jay Park,Charli XCX,0.504,0.711,0.5,0.0585,2021
The Business,Tiësto,0.798,0.62,0.235,0.414,2021
good 4 u,Olivia Rodrigo,0.556,0.661,0.668,0.3,2021
Caroline,Aminé,0.94,0.335,0.707,0.17,2021
Ратата,Konfuz,0.921,0.524,0.895,0.172,2021
Build a Bitch,Bella Poarch,0.855,0.463,0.866,0.217,2021
Cheating on You,Charlie Puth,0.749,0.535,0.601,0.0131,2021
Levitating,Dua Lipa,0.695,0.884,0.914,0.0561,2021
After School,Weeekly,0.634,0.928,0.738,0.00719,2021
Leave The Door Open,Bruno Mars,0.586,0.616,0.719,0.182,2021
MONTERO (Call Me By Your Name),Lil Nas X,0.61,0.508,0.758,0.297,2021
2 Phút Hơn - KAIZ Remix,Pháo,0.845,0.733,0.28,0.0265,2021
晚安晚安 (DJ版),小三金,0.624,0.528,0.642,0.284,2021
Astronaut In The Ocean,Masked Wolf,0.778,0.695,0.472,0.175,2021
Kẻ Cắp Gặp Bà Già - Remix,DJ TikTok,0.875,0.677,0.798,0.0391,2021
SugarCrash!,ElyOtto,0.745,0.74,0.36,0.53,2021
Stuck in the Middle,Tai Verdes,0.844,0.429,0.764,0.574,2021
Please Don't Go,Mike Posner,0.699,0.882,0.657,0.00296,2021
Renai Circulation (English Cover) [2012 TV Size],Lizz Robinett,0.896,0.555,0.772,0.252,2021
Copines,Aya Nakamura,0.701,0.787,0.904,0.27,2021
FACK,Eminem,0.842,0.602,0.372,0.00638,2021
To the Bone,Pamungkas,0.668,0.727,0.939,0.514,2021
Rasputin,Boney M.,0.69,0.752,0.97,0.463,2021
Gimme More,Britney Spears,0.788,0.844,0.382,0.25,2021
The Show,Lenka,0.753,0.59,0.593,0.259,2021
3 Strikes,Terror Jr,0.599,0.432,0.615,0.62,2021
Yours,Raiden,0.676,0.774,0.392,0.137,2021
Dangerous,Kardinal Offishall,0.949,0.79,0.807,0.00437,2021
Heartbreak Anniversary,Giveon,0.449,0.465,0.543,0.524,2021
BANG BANG BANG,BIGBANG,0.69,0.843,0.428,0.0167,2021
Safe And Sound,Capital Cities,0.655,0.819,0.766,0.000176,2021
Savage Days,Eric D,0.757,0.836,0.756,0.00324,2021
Dilemma,Nelly,0.727,0.552,0.607,0.227,2021
"Sit Still, Look Pretty",Daya,0.657,0.739,0.543,0.141,2021
YRN - Remix,Eduardo Luzquiños,0.808,0.782,0.634,0.0241,2021
Brave,Sara Bareilles,0.551,0.836,0.758,0.00502,2021
At My Worst,Pink Sweat$,0.813,0.415,0.667,0.777,2021
Dandelions,Ruth B.,0.609,0.692,0.454,0.0157,2021
drivers license,Olivia Rodrigo,0.561,0.431,0.137,0.768,2021
happier,Olivia Rodrigo,0.395,0.443,0.338,0.765,2021
Woman,Doja Cat,0.824,0.764,0.881,0.0888,2021
Kiss Me More (feat. SZA),Doja Cat,0.764,0.705,0.781,0.259,2021
You're Perfect,Charly Black,0.817,0.855,0.783,0.318,2021
My Universe,Coldplay,0.588,0.701,0.443,0.00813,2021
Permission to Dance,BTS,0.702,0.741,0.646,0.00544,2021
Butter,BTS,0.759,0.459,0.695,0.00323,2021
LALISA,LISA,0.804,0.652,0.854,0.0267,2021
MONEY,LISA,0.826,0.553,0.4,0.163,2021
Hair (feat. Sean Paul),Little Mix,0.713,0.801,0.727,0.00628,2021
What You Know Bout Love,Pop Smoke,0.709,0.548,0.543,0.65,2021
My Lecon,JTL,0.945,0.821,0.528,0.281,2021
Hatchback,Cochise,0.734,0.692,0.348,0.0221,2021
Shower,Becky G,0.699,0.529,0.121,0.0317,2021
Replay,Iyaz,0.706,0.751,0.195,0.173,2021
Love Me,Lil Wayne,0.669,0.634,0.496,0.0125,2021
Hello Bitches,CL,0.714,0.884,0.584,0.00985,2021
Life Goes On,Oliver Tree,0.7,0.49,0.569,0.186,2021
Why,Bazzi,0.676,0.67,0.54,0.353,2021
GUY.exe,Superfruit,0.77,0.732,0.889,0.0305,2021
Young Dumb & Broke,Khalid,0.799,0.539,0.394,0.199,2021
You Don't Know Me,Jax Jones,0.877,0.658,0.693,0.163,2021
broken,lovelytheband,0.666,0.728,0.51,0.00175,2021
Hot N Cold,Katy Perry,0.706,0.841,0.861,7.95e-05,2021
Who Says,Selena Gomez & The Scene,0.682,0.927,0.744,0.0843,2021
Habits (Stay High),Tove Lo,0.733,0.65,0.348,0.0703,2021
Bundles (feat. Taylor Girlz),Kayla Nicole,0.939,0.682,0.584,0.00152,2021
Middle,DJ Snake,0.583,0.695,0.224,0.0141,2021
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.736,0.704,0.894,0.0203,2021
Pumped Up Kicks,Madism,0.669,0.687,0.386,0.152,2021
Bad Habits,Ed Sheeran,0.808,0.897,0.591,0.0469,2021
Pepas,Farruko,0.762,0.766,0.442,0.00776,2021
Jalebi Baby (Tesher x Jason Derulo),Tesher,0.691,0.829,0.866,0.0289,2021
